,bulan,data,rata2
0,bulan_1,54598.367107269994,29.67302560177717
1,bulan_2,54663.2522089,29.70828924396739
2,bulan_3,55475.81293274,30.14989833301087
3,bulan_4,55155.62902444,29.975885339369565
4,bulan_5,53593.97639465,29.127161084048915
5,bulan_6,54098.89879407,29.401575431559785
6,bulan_7,53635.08598525,29.14950325285326
7,bulan_8,55666.25231343,30.253397996429346
8,bulan_9,57049.08714309,31.004938664722825
9,bulan_10,56706.583045989995,30.818795133690216
10,bulan_11,53979.71338482,29.336800752619567
11,bulan_12,53316.347286129996,28.976275698983695
12,bulan_13,52519.88663661,28.54341665033152
13,bulan_14,52645.72300153,28.61180597909239
14,bulan_15,54093.537815120006,29.398661856043482
15,bulan_16,54847.195714960006,29.808258540739132
16,bulan_17,54317.64044201,29.520456761961956
17,bulan_18,54056.98399921,29.378795651744568
18,bulan_19,53704.38418953,29.18716532039674
19,bulan_20,55557.31491278,30.194192887380435
20,bulan_21,53861.32503316,29.272459257152175
21,bulan_22,56560.41695386,30.739357040141307
22,bulan_23,55243.01583296,30.023378170086957
23,bulan_24,52933.28929131,28.76809200614674
24,bulan_25,54949.71896358,29.86397769759783
25,bulan_26,54113.68103982999,29.40960926077717
26,bulan_27,54578.64890103,29.66230918534239
27,bulan_28,54896.67609596001,29.835150052152176
28,bulan_29,55239.89666934001,30.021682972467396
29,bulan_30,54095.03090301,29.399473316853264
30,bulan_31,53394.43711664,29.01871582426087
31,bulan_32,55675.02798071,30.25816738082065
32,bulan_33,56186.788524640004,30.536298111217395
33,bulan_34,57264.28949559,31.121896464994563
34,bulan_35,54679.3079719,29.717015202119565
35,bulan_36,53356.36772917,28.998025939766304
36,bulan_37,52549.38229935,28.559446901820653
37,bulan_38,53563.37670144,29.110530816
38,bulan_39,53665.61438758,29.166094775858696
39,bulan_40,55086.18542866,29.938144254706522
40,bulan_41,55718.03488939,30.281540700755436
41,bulan_42,53928.44144638,29.30893556868478
42,bulan_43,53737.26629634,29.205036030619564
43,bulan_44,54491.10969349,29.61473352907065
44,bulan_45,55740.14603249999,30.29355762635869
45,bulan_46,56339.835258470004,30.61947568395109
46,bulan_47,54147.09362778,29.42776827596739
47,bulan_48,54996.54179005,29.88942488589674
48,bulan_49,53144.93528583,28.883117003168476
49,bulan_50,54060.01276747,29.380441721451085
50,bulan_51,55240.08666609,30.02178623157065
51,bulan_52,56346.490592949995,30.623092713559778
52,bulan_53,55445.04527864,30.133176781869565
53,bulan_54,55149.13931656,29.972358324217392
54,bulan_55,54363.19076138,29.545212370315216
55,bulan_56,55796.66621401,30.324275116309785
56,bulan_57,56827.386474490006,30.884449170918483
57,bulan_58,58114.418697350004,31.583923205081522
58,bulan_59,56057.917221209995,30.46625935935326
59,bulan_60,53380.62587168,29.011209712869565
60,bulan_61,54036.87789723,29.367868422407607
61,bulan_62,54824.10947984,29.795711673826087
62,bulan_63,55805.78849215,30.32923287616848
